No_Aug_Acc,No_Aug_Loss,Basic_Aug_Acc,Basic_Aug_Loss
1.5730598927988815,4.813793325527526,2.563505010487066,4.752498983283662
2.808203216033559,4.665977985228195,1.106968072710324,4.509552924230429
3.9268235842460966,4.416199791926228,5.91936611512468,4.321409468373411
5.138662316476346,4.11250975029054,4.7657888604055,4.093073162680408
8.005127010020974,3.8999077372798165,7.713819622465626,3.919416087928425
8.005127010020974,3.6971284507373747,11.687252388720578,3.748036060954833
12.130039617804707,3.4798215713714,14.029363784665579,3.579245746403977
13.807970170123514,3.2406933794897546,17.711489163365183,3.3875213698717648
18.632020508040085,3.054884761666274,16.091820088557444,3.2834126201346034
18.364017711489165,2.8554436290119067,21.52178979258914,3.0782229378533814
21.07900256350501,2.6197648053567475,19.44768119319506,2.9044111608803163
19.44768119319506,2.407360786357548,25.332090421813096,2.7464217123418555
27.802377068282453,2.1627540833593546,28.105336751340015,2.576160593099605
26.217664879981356,1.900831061117767,28.816126776975064,2.4391104801433605
27.61594034024703,1.6611528634468622,29.142391051037055,2.29305928296736
28.000466091820087,1.4057948763002095,32.41668608715917,2.1480192975970898
28.326730365882078,1.1768069278003574,34.53740386856211,2.0317037728333953
26.159403402470286,0.9447274465802551,36.35516196690748,1.9177385808666818
26.602190631554418,0.7755730785038257,38.25448613376835,1.8118582976263828
27.70915870426474,0.6178939065986483,31.169890468422278,1.7030615907129516
