Epoch,MixUp_Acc,MixUp_Loss
1,42.146352831507805,3.6746465372908093
2,47.97250058261478,3.215932499907338
3,50.477744115590774,3.0184331163999976
4,44.58168259147052,2.837303383307847
5,57.42251223491028,2.7511143554029993
6,59.77627592635749,2.6533925425988434
7,63.155441621999536,2.543161031424473
8,61.092985318107665,2.4844129560072834
9,66.12677697506409,2.407967455010749
10,68.69028198555115,2.295899516563651
11,71.09065485900723,2.2276732844498817
12,71.2304824050338,2.169041830612274
13,73.85224889303193,2.099214602836193
14,75.65835469587509,2.0362642017836015
15,76.11279422046142,1.9939853422918763
16,77.04497786063854,1.9698355418083011
17,77.5926357492426,1.9297077054281118
18,78.08203216033559,1.9071486331677712
19,78.22185970636215,1.8775221774490263
20,78.46655791190865,1.8872740843789262
