Epoch,Basic_Aug_Acc,Basic_Aug_Loss
1,45.02446982055465,2.197056181511495
2,51.15357725471918,1.579078650887876
3,56.16406432067117,1.3109728589139793
4,57.17781402936379,1.1053128622634985
5,62.36308552784899,0.9144667402309743
6,63.2137030995106,0.775405243299945
7,61.12794220461431,0.6147617930113266
8,67.37357259380097,0.448240334420507
9,66.09182008855744,0.3380543093797385
10,70.96247960848287,0.24003072692555455
11,72.02283849918435,0.16596400775394154
12,74.66790957818691,0.1112424442043134
13,75.00582614775111,0.07886878742582898
14,75.32043812631089,0.05933954805517012
15,76.01957585644372,0.04457475602313824
16,76.2642740619902,0.03620040552216503
17,76.45071079002564,0.03225904759898307
18,76.47401538103006,0.02912539268351233
19,76.4274061990212,0.028957787162811683
20,76.63714751806106,0.028996262257224143
